CODFILIAL;NUMPED;CNPJ_FORNECEDOR;FORNECEDOR;CNPJ_CLIENTE;CLIENTE;ESTADO;TOTAL_FATURADO;VALOR_DEVOLVIDO
1;58060373;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;123829,0;R DA SILVA VIEIRA  ME;CE;964,85;
1;58060373;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;123829,0;R DA SILVA VIEIRA  ME;CE;964,85;
1;58060374;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;95440,0;FARMACIA MAIS SAUDE MEDICAMENTOS EIRELI;CE;1371,02;
1;58060374;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;95440,0;FARMACIA MAIS SAUDE MEDICAMENTOS EIRELI;CE;1371,02;
1;58060375;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;81846,0;M.M REGO;CE;1025,15;
1;58060375;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;81846,0;M.M REGO;CE;1025,15;
1;58060376;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;87096,0;MELO E CARVALHO LTDA;CE;720,19;
1;58060377;53333;GERMED FARMACEUTICA LTDA;80143,0;A. ANDRADE BONFIM JUNIOR;CE;3545,55;
1;58060378;53333;GERMED FARMACEUTICA LTDA;80143,0;A. ANDRADE BONFIM JUNIOR;CE;2973,25;
1;58060379;5582;EMS S/A;80502,0;DROGARIA VASCONCELOS LTDA - ME;CE;2381,69;
1;58060379;794919;EMS S/A;80502,0;DROGARIA VASCONCELOS LTDA - ME;CE;2381,69;
1;58060381;794919;EMS S/A;123829,0;R DA SILVA VIEIRA  ME;CE;1083,19;
1;58060381;5582;EMS S/A;123829,0;R DA SILVA VIEIRA  ME;CE;1083,19;
1;58060389;33057;NATULAB LABORATORIO LTDA;81846,0;M.M REGO;CE;1965,14;
1;58060390;33057;NATULAB LABORATORIO LTDA;81846,0;M.M REGO;CE;806,52;
1;58060391;33057;NATULAB LABORATORIO LTDA;96158,0;A A HENRIQUE V LIMA LTDA.;CE;4305,85;
1;58060392;33057;NATULAB LABORATORIO LTDA;80732,0;A.B DOS SANTOS - ME;CE;1656,61;
1;58060393;33057;NATULAB LABORATORIO LTDA;80502,0;DROGARIA VASCONCELOS LTDA - ME;CE;3386,98;
1;58060394;33057;NATULAB LABORATORIO LTDA;80502,0;DROGARIA VASCONCELOS LTDA - ME;CE;1199,13;
1;58060400;33928;GEOLAB IND FARMACEUTICA S/A;81846,0;M.M REGO;CE;1252,63;
1;58060401;794919;EMS S/A;93209,0;ESSENCIAL FARMA TAUA LTDA;CE;1458,84;
1;58060401;5582;EMS S/A;93209,0;ESSENCIAL FARMA TAUA LTDA;CE;1458,84;
1;58060403;30791;LABORATORIO TEUTO BRASILEIRO S/A;81198,0;FARMACIA ANDRADE E FEITOSA LTDA;CE;1634,9;
1;58060414;789228;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);87096,0;MELO E CARVALHO LTDA;CE;2811,74;
1;58060416;30791;LABORATORIO TEUTO BRASILEIRO S/A;86857,0;S FEITOSA ARRAIS  ME;CE;754,72;
1;58060418;47252;HYPERA S.A;80143,0;A ANDRADE BONFIM JUNIOR MEDICAMENTOS ME;CE;256,25;
1;58060419;47252;HYPERA S.A;80143,0;A ANDRADE BONFIM JUNIOR MEDICAMENTOS ME;CE;2506,11;
1;58060431;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;80143,0;LUANA BARBOSA BOMFIM ME;CE;683,7;
1;58060432;33766;CIFARMA CIENTIFICA FARMAC LTDA;87698,0;DROGARIA SAO JORGE;CE;464,11;
1;58060433;47252;HYPERA S.A;80143,0;A. ANDRADE BONFIM JUNIOR;CE;11874,25;
1;58060435;53333;GERMED FARMACEUTICA LTDA;80502,0;DROGARIA VASCONCELOS LTDA - ME;CE;1879,75;
1;58060444;47252;HYPERA S.A;80143,0;A ANDRADE BONFIM JUNIOR MEDICAMENTOS ME;CE;15193,79;
1;58060444;793120;HYPERA S.A;80143,0;A ANDRADE BONFIM JUNIOR MEDICAMENTOS ME;CE;15193,79;
1;58060446;793120;HYPERA S.A;80143,0;A ANDRADE BONFIM JUNIOR MEDICAMENTOS ME;CE;1620,34;
1;58060446;47252;HYPERA S.A;80143,0;A ANDRADE BONFIM JUNIOR MEDICAMENTOS ME;CE;1620,34;
1;58060450;47252;HYPERA S.A;80143,0;A ANDRADE BONFIM JUNIOR MEDICAMENTOS ME;CE;1129,59;
1;58060451;33766;CIFARMA CIENTIFICA FARMAC LTDA;132954,0;FARMACIA FROTA LTDA;CE;352,23;
1;58060458;33928;GEOLAB IND FARMACEUTICA S/A;80143,0;LUANA BARBOSA BOMFIM ME;CE;32101,42;
1;58060459;789423;KLEY HERTZ DISTRIBUIDORA LTDA;80502,0;DROGARIA VASCONCELOS LTDA - ME;CE;563,15;
1;58060462;789423;KLEY HERTZ DISTRIBUIDORA LTDA;80143,0;LUANA BARBOSA BOMFIM ME;CE;6053,21;
1;58060466;789423;KLEY HERTZ DISTRIBUIDORA LTDA;81846,0;M.M REGO;CE;1388,79;
1;58060469;793120;HYPERA S.A;80143,0;A ANDRADE BONFIM JUNIOR MEDICAMENTOS ME;CE;11840,1;
1;58060469;47252;HYPERA S.A;80143,0;A ANDRADE BONFIM JUNIOR MEDICAMENTOS ME;CE;11840,1;
1;58060477;789423;KLEY HERTZ DISTRIBUIDORA LTDA;80143,0;LUANA BARBOSA BOMFIM ME;CE;1783,67;
1;58060479;789423;KLEY HERTZ DISTRIBUIDORA LTDA;122783,0;WELTON FELIX MOREIRA ME;CE;2059,31;
1;58060486;789423;KLEY HERTZ DISTRIBUIDORA LTDA;87096,0;MELO E CARVALHO LTDA;CE;3342,53;
1;58060487;794919;EMS S/A;130392,0;RM MENDES LTDA;CE;508,2;
1;58060487;5582;EMS S/A;130392,0;RM MENDES LTDA;CE;508,2;
1;58060492;30791;LABORATORIO TEUTO BRASILEIRO S/A;93209,0;ESSENCIAL FARMA TAUA LTDA;CE;4708,74;
1;58060494;47252;HYPERA S.A;80143,0;LUANA BARBOSA BOMFIM ME;CE;195,77;
1;58060500;30791;LABORATORIO TEUTO BRASILEIRO S/A;80712,0;ANTONIA COELHO SAMPAIO;CE;3486,64;
1;58060501;33928;GEOLAB IND FARMACEUTICA S/A;80143,0;LUANA BARBOSA BOMFIM ME;CE;996,09;
1;58060502;47252;HYPERA S.A;80502,0;DROGARIA VASCONCELOS LTDA - ME;CE;238,99;
1;82107014;33928;GEOLAB IND FARMACEUTICA S/A;86285,0;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;CE;10783,4;
1;82107015;33928;GEOLAB IND FARMACEUTICA S/A;86285,0;FARMACIA PROVIDA LTDA;CE;2224,62;
1;82107016;33928;GEOLAB IND FARMACEUTICA S/A;86285,0;FARMACIA PROVIDA LTDA;CE;6454,1;7,55
1;82107017;33928;GEOLAB IND FARMACEUTICA S/A;86285,0;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;CE;2838,62;4,02
1;82107018;33928;GEOLAB IND FARMACEUTICA S/A;86285,0;PROVIDA FARMACIA LTDA;CE;2611,57;
1;82107019;33928;GEOLAB IND FARMACEUTICA S/A;86285,0;PROVIDA LTDA;CE;402,13;
1;82107020;33928;GEOLAB IND FARMACEUTICA S/A;86285,0;PROVIDA LTDA;CE;4542,1;36,06
1;82107021;33057;NATULAB LABORATORIO LTDA;86285,0;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;CE;3519,92;
1;82107022;33057;NATULAB LABORATORIO LTDA;86285,0;FARMACIA PROVIDA LTDA;CE;960,72;
1;82107023;33057;NATULAB LABORATORIO LTDA;86285,0;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;CE;1723,59;35,03
1;82107024;33057;NATULAB LABORATORIO LTDA;86285,0;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;CE;1388,52;
1;82107025;33057;NATULAB LABORATORIO LTDA;86285,0;PROVIDA FARMACIA LTDA;CE;2029,63;
1;82107026;33057;NATULAB LABORATORIO LTDA;86285,0;PROVIDA FARMACIA LTDA;CE;548,41;
1;82107027;33057;NATULAB LABORATORIO LTDA;86285,0;PROVIDA LTDA;CE;1587,14;7,64
1;82107028;33057;NATULAB LABORATORIO LTDA;86285,0;PROVIDA LTDA;CE;2838,31;12,23
1;82107029;33057;NATULAB LABORATORIO LTDA;86285,0;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;CE;4080,47;
1;82107030;33057;NATULAB LABORATORIO LTDA;86285,0;FARMACIA PROVIDA LTDA;CE;1452,37;
1;82107148;47252;HYPERA S.A;92077,0;FARMACIA MENORPRECO LTDA ME;CE;603,67;
1;82107150;47252;HYPERA S.A;92077,0;THIAGO P F VASCONELOS FARMACIA  ME;CE;506,87;
1;82107152;793120;HYPERA S.A;92077,0;FARMACIA MENORPRECO LTDA ME;CE;4570,18;
1;82107152;47252;HYPERA S.A;92077,0;FARMACIA MENORPRECO LTDA ME;CE;4570,18;
1;82107153;47252;HYPERA S.A;92077,0;FARMACIA MENORPRECO LTDA ME;CE;820,5;
1;82107157;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;86285,0;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;CE;6698,51;6,87
1;82107157;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;86285,0;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;CE;6698,51;6,87
1;82107158;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;86285,0;PROVIDA LTDA;CE;660,72;
1;82107159;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;86285,0;FARMACIA PROVIDA LTDA;CE;3990,92;
1;82107159;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;86285,0;FARMACIA PROVIDA LTDA;CE;3990,92;
1;82107160;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;86285,0;PROVIDA LTDA;CE;4680,79;
1;82107160;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;86285,0;PROVIDA LTDA;CE;4680,79;
1;82107161;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;86285,0;PROVIDA FARMACIA LTDA;CE;2601,66;
1;82107161;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;86285,0;PROVIDA FARMACIA LTDA;CE;2601,66;
1;82107162;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;86285,0;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;CE;2680,81;
1;82107162;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;86285,0;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;CE;2680,81;
1;82107163;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;86285,0;FARMACIA PROVIDA LTDA;CE;1251,55;
1;82107163;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;86285,0;FARMACIA PROVIDA LTDA;CE;1251,55;
1;82107164;53333;GERMED FARMACEUTICA LTDA;86285,0;PROVIDA LTDA;CE;296,08;
1;82107165;53333;GERMED FARMACEUTICA LTDA;86285,0;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;CE;6236,3;9,5
1;82107166;794919;EMS S/A;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;1785,39;
1;82107166;5582;EMS S/A;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;1785,39;
1;82107167;53333;GERMED FARMACEUTICA LTDA;86285,0;FARMACIA PROVIDA LTDA;CE;4741,47;105,2
1;82107168;5582;EMS S/A;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;1826,73;
1;82107168;794919;EMS S/A;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;1826,73;
1;82107169;5582;EMS S/A;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;3839,36;
1;82107169;794919;EMS S/A;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;3839,36;
1;82107170;5582;EMS S/A;81356,0;FCIA CENTER POPULAR LTDA;CE;2505,34;884,01
1;82107170;794919;EMS S/A;81356,0;FCIA CENTER POPULAR LTDA;CE;2505,34;884,01
1;82107171;53333;GERMED FARMACEUTICA LTDA;86285,0;PROVIDA LTDA;CE;4523,84;
1;82107172;794919;EMS S/A;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;3181,93;
1;82107172;5582;EMS S/A;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;3181,93;
1;82107173;5582;EMS S/A;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;3492,18;
1;82107173;794919;EMS S/A;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;3492,18;
1;82107174;53333;GERMED FARMACEUTICA LTDA;86285,0;PROVIDA FARMACIA LTDA;CE;3532,35;
1;82107175;5582;EMS S/A;80918,0;FARMACIAS E DROGARIAS FELIX LTDA;CE;997,29;
1;82107175;794919;EMS S/A;80918,0;FARMACIAS E DROGARIAS FELIX LTDA;CE;997,29;
1;82107176;5582;EMS S/A;81356,0;FARMACIA CENTER POPULAR DR THEBERGE LTDA;CE;724,21;
1;82107176;794919;EMS S/A;81356,0;FARMACIA CENTER POPULAR DR THEBERGE LTDA;CE;724,21;
1;82107177;53333;GERMED FARMACEUTICA LTDA;86285,0;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;CE;2948,94;
1;82107178;53333;GERMED FARMACEUTICA LTDA;86285,0;FARMACIA PROVIDA LTDA;CE;1076,92;13,98
1;82107179;53333;GERMED FARMACEUTICA LTDA;92077,0;FARMACIA MENORPRECO LTDA ME;CE;2487,83;
1;82107180;53333;GERMED FARMACEUTICA LTDA;86285,0;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;CE;732,25;
1;82107181;53333;GERMED FARMACEUTICA LTDA;86285,0;PROVIDA LTDA;CE;366,13;
1;82107182;53333;GERMED FARMACEUTICA LTDA;86285,0;FARMACIA PROVIDA LTDA;CE;1830,64;
1;82107183;53333;GERMED FARMACEUTICA LTDA;86285,0;PROVIDA LTDA;CE;2196,76;
1;82107184;53333;GERMED FARMACEUTICA LTDA;86285,0;PROVIDA FARMACIA LTDA;CE;732,25;
1;82107185;53333;GERMED FARMACEUTICA LTDA;86285,0;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;CE;549,19;
1;82107186;53333;GERMED FARMACEUTICA LTDA;86285,0;FARMACIA PROVIDA LTDA;CE;1281,44;
1;82107187;5582;EMS S/A;97835,0;FARMACIA CENTER POPULAR LTDA  EPP;CE;1036,84;
1;82107187;794919;EMS S/A;97835,0;FARMACIA CENTER POPULAR LTDA  EPP;CE;1036,84;
1;82107188;794919;EMS S/A;97835,0;JS COMERCIO DE MEDICAMENTOS LTDA;CE;786,08;
1;82107189;794919;EMS S/A;97835,0;JF MEDICAMENTOS LTDA;CE;1185,71;
1;82107189;5582;EMS S/A;97835,0;JF MEDICAMENTOS LTDA;CE;1185,71;
1;82107190;794919;EMS S/A;97835,0;MEDICAMENTOS FONTENELE LTDA;CE;701,2;
1;82107191;794919;EMS S/A;130817,0;SB COMERCIO DE MEDICAMENTOS LTDA;CE;815,5;
1;82107191;5582;EMS S/A;130817,0;SB COMERCIO DE MEDICAMENTOS LTDA;CE;815,5;
1;82107192;794919;EMS S/A;97835,0;FONTENELE MEDICAMENTOS LTDA  EPP;CE;997,35;
1;82107193;794919;EMS S/A;97835,0;FARMACIA THEBERGE LTDA;CE;2851,38;
1;82107194;5582;EMS S/A;97835,0;DROGARIAS ESPERANCA DIVINA LTDA;CE;845,47;
1;82107194;794919;EMS S/A;97835,0;DROGARIAS ESPERANCA DIVINA LTDA;CE;845,47;
1;82107195;789423;KLEY HERTZ DISTRIBUIDORA LTDA;86285,0;FARMACIA PROVIDA LTDA;CE;3057,63;
1;82107196;789423;KLEY HERTZ DISTRIBUIDORA LTDA;86285,0;PROVIDA LTDA;CE;2143,88;
1;82107197;789423;KLEY HERTZ DISTRIBUIDORA LTDA;86285,0;PROVIDA FARMACIA LTDA;CE;1191,96;
1;82107198;789423;KLEY HERTZ DISTRIBUIDORA LTDA;86285,0;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;CE;1681,13;
1;82107199;789423;KLEY HERTZ DISTRIBUIDORA LTDA;86285,0;FARMACIA PROVIDA LTDA;CE;1158,93;
1;82107200;789423;KLEY HERTZ DISTRIBUIDORA LTDA;86285,0;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;CE;2778,54;
1;82107201;789423;KLEY HERTZ DISTRIBUIDORA LTDA;80953,0;DROGARIA CARNEIRO LTDA;CE;1927,82;
1;82107202;789423;KLEY HERTZ DISTRIBUIDORA LTDA;80953,0;DROGARIA CARNEIRO LTDA;CE;443,3;
1;82107203;789423;KLEY HERTZ DISTRIBUIDORA LTDA;80953,0;DROGARIA CARNEIRO LTDA;CE;591,14;
1;82107204;789423;KLEY HERTZ DISTRIBUIDORA LTDA;92077,0;FARMACIA MENORPRECO LTDA ME;CE;1083,82;
1;82107205;33057;NATULAB LABORATORIO LTDA;86285,0;FARMACIA PROVIDA LTDA;CE;550,15;
1;82107206;33057;NATULAB LABORATORIO LTDA;92077,0;FARMACIA MENORPRECO LTDA ME;CE;2538,99;
1;82107207;33057;NATULAB LABORATORIO LTDA;80953,0;DROGARIA CARNEIRO LTDA;CE;1233,94;
1;82107208;33057;NATULAB LABORATORIO LTDA;80953,0;DROGARIA CARNEIRO LTDA F 5;CE;1098,46;
1;82107209;33057;NATULAB LABORATORIO LTDA;80953,0;DROGARIA CARNEIRO LTDA;CE;998,57;
1;82107210;30791;LABORATORIO TEUTO BRASILEIRO S/A;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;2793,74;
1;82107212;30791;LABORATORIO TEUTO BRASILEIRO S/A;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;3950,69;
1;82107216;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;1476,95;
1;82107216;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;1476,95;
1;82107217;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;81356,0;FCIA CENTER POPULAR LTDA;CE;624,23;
1;82107217;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;81356,0;FCIA CENTER POPULAR LTDA;CE;624,23;
1;82107218;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;820,54;
1;82107218;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;820,54;
1;82107219;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;674,04;
1;82107219;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;674,04;
1;82107220;794365;LABOFARMA PRODUTOS FARMACEUTICOS LTDA;80918,0;FARMACIAS E DROGARIAS FELIX LTDA;CE;1027,8;
1;82107220;789525;ACHE LABORATORIOS FARMACEUTICOS S/A;80918,0;FARMACIAS E DROGARIAS FELIX LTDA;CE;1027,8;
1;82107223;33928;GEOLAB IND FARMACEUTICA S/A;92077,0;FARMACIA MENORPRECO LTDA ME;CE;1478,11;
1;82107224;794919;EMS S/A;86285,0;PROVIDA LTDA;CE;450,07;8,62
1;82107224;5582;EMS S/A;86285,0;PROVIDA LTDA;CE;450,07;8,62
1;82107225;5582;EMS S/A;86285,0;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;CE;9553,32;
1;82107225;794919;EMS S/A;86285,0;FARMACIA PROVIDA EMPREENDIMENTOS LTDA;CE;9553,32;
1;82107226;794919;EMS S/A;86285,0;FARMACIA PROVIDA LTDA;CE;6716,25;
1;82107226;5582;EMS S/A;86285,0;FARMACIA PROVIDA LTDA;CE;6716,25;
1;82107227;794919;EMS S/A;86285,0;PROVIDA LTDA;CE;7500,95;
1;82107227;5582;EMS S/A;86285,0;PROVIDA LTDA;CE;7500,95;
1;82107228;5582;EMS S/A;86285,0;PROVIDA FARMACIA LTDA;CE;4899,08;
1;82107228;794919;EMS S/A;86285,0;PROVIDA FARMACIA LTDA;CE;4899,08;
1;82107229;5582;EMS S/A;86285,0;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;CE;3489,91;
1;82107229;794919;EMS S/A;86285,0;PROVIDA COMERCIO FARMACEUTICO SOCIEDADE UNIPESSOAL LTDA;CE;3489,91;
1;82107230;794919;EMS S/A;86285,0;FARMACIA PROVIDA LTDA;CE;2164,15;166,08
1;82107230;5582;EMS S/A;86285,0;FARMACIA PROVIDA LTDA;CE;2164,15;166,08
1;82107231;789228;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);92077,0;FARMACIA MENORPRECO LTDA ME;CE;1676,34;
1;82107232;789228;SANDOZ DO BRASI  IND. FARMAC LTDA (SP);92077,0;FARMACIA MENORPRECO LTDA ME;CE;250,19;
1;82107233;30791;LABORATORIO TEUTO BRASILEIRO S/A;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;7781,0;
1;82107234;30791;LABORATORIO TEUTO BRASILEIRO S/A;81356,0;FCIA CENTER POPULAR LTDA;CE;2556,71;
1;82107235;30791;LABORATORIO TEUTO BRASILEIRO S/A;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;5969,79;
1;82107236;30791;LABORATORIO TEUTO BRASILEIRO S/A;86285,0;PROVIDA LTDA;CE;1003,93;
1;82107237;30791;LABORATORIO TEUTO BRASILEIRO S/A;86285,0;FARMACIA PROVIDA LTDA;CE;3062,62;
1;82107238;30791;LABORATORIO TEUTO BRASILEIRO S/A;81356,0;FARMACIA ESPERANCA DIVINA LTDA;CE;6686,98;
1;82107239;30791;LABORATORIO TEUTO BRASILEIRO S/A;86285,0;PROVIDA LTDA;CE;4204,73;
