fornecedor_nome;fornecedor_cnpj;cliente_nome;cliente_cnpj;estado;total_valor_pedido;total_pedidos_qtd
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;M C CARVALHO COMERCIO FARMACEUTICO LTDA;89397;CE;3500.00;1
NATULAB LABORATORIO LTDA;33057;FARMACIA CONVIVA CAUCAIA;91259;CE;3320.70;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;FARM.LIMOEIRENSE;80983;CE;1182.43;1
TORRENT DO BRASIL LTDA;792019;FARMACIA POPULAR;80123;CE;551.80;1
GEOLAB IND FARMACEUTICA S/A;33928;OLIVEIRA E SOUSA COM DE PROD.;90920;CE;1180.48;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;FARMACIA MINI PRECO;126522;MA;2120.20;1
GEOLAB IND FARMACEUTICA S/A;33928;FARMACIA DO MIGUEL;72753;MA;6615.19;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;DROGASOL;92558;MA;651.53;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;FARMACIA POPULAR;87096;CE;3121.92;1
GEOLAB IND FARMACEUTICA S/A;33928;FARMACIA PALESTINA;90050;CE;1123.79;1
MILI S/A;789168;FARMACIA NOVA FARMA;120610;CE;5238.59;1
LOLLY BABY PRODUTOS INFANTIS L;30083;LOJA 7;85007;CE;6000.00;1
NATULAB LABORATORIO LTDA;33057;FARMACIA PRO SAUDE;7352;BA;5718.00;1
GEOLAB IND FARMACEUTICA S/A;33928;S S FARMACIAS LTDA;97917;MA;1149.08;1
GEOLAB IND FARMACEUTICA S/A;33928;FARMACIA;96349;MA;2453.85;1
NEOQUIMICA;47252;DROGARIA RENDE MAIS ;119511;MA;4135.54;1
SOFTYS BRASIL LTDA;789603;DROGARIA POUPE JA;102068;PE;123900.00;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;FARMACIA PRECO BAIXO;98035;CE;650.64;1
PRO NOVA DIST E COM DE COSMETICOS LTDA - GIOVANNA BABY;792121;BENFARMA;98006;CE;2926.54;1
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA BOM PRECO;93183;CE;4465.58;1
PRO NOVA DIST E COM DE COSMETICOS LTDA - GIOVANNA BABY;792121;FARMACIA SANTA TERESINHA;56456;PI;3556.66;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA ARCANJO GABRIEL;88210;CE;4600.00;1
LABORATORIO GLOBO LTDA;31305;FARMA FAMA;93659;MA;3465.88;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;POSTO DE MEDICAMENTOS SAUDE DO TRABALHAD;101677;PE;120000.00;1
GERMED FARMACEUTICA LTDA;53333;FARMACIA SANFARMA;91259;CE;5980.00;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;FARMACIA CASTELO BRANCO;97038;CE;4592.92;1
SOFTYS BRASIL LTDA;789603;FARMACIA PORTELA;90866;CE;12800.30;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;FARMACIA SAO FRANCISCO;127331;CE;2078.79;1
NATULAB LABORATORIO LTDA;33057;DROGARIA AGUIAR PAULA LTDA ME;81074;CE;2365.25;1
TORRENT DO BRASIL LTDA;792019;CEGIANE GESSICA A MONTEIRO ME;77160;CE;555.73;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;FARMACIA CENTER POPULAR (LJ 3) C CASCAVE;81356;CE;3471.08;1
GERMED FARMACEUTICA LTDA;53333;FARMACIA MENOR PREÇO;7971;BA;120000.00;1
BEBE SAUDE LTDA;790756;FARMACIA NATURELLE;20039;CE;50000.00;1
MILI S/A;789168;SUPERMERCADO MORANGUINHO -LJ01;87995;CE;20257.63;1
LABORATORIO GLOBO LTDA;31305;DROGARIAS ULTRA POPULAR ;95647;MA;1329.49;1
EMS S/A;5582;FARM.PADRE CICERO;81217;CE;4738.76;2
NEOQUIMICA;47252;S S FARMACIAS LTDA;97917;MA;8501.18;1
TORRENT DO BRASIL LTDA;792019;FARMACIA MENOR PREÇO;7971;BA;1000.00;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;FARMACIA SAO MIGUEL;72753;MA;3017.68;1
NEOQUIMICA;47252;FARMACIA PLANETA LTDA ME;93346;CE;2691.00;1
BIOSINTETICA FARMACEUTICA LTDA;7676;BARATAO DOS COMPRIMIDOS COMERC;86705;CE;8446.40;2
KLEY HERTZ DISTRIBUIDORA LTDA;789423;FARM.VASCONCELOS;80502;CE;1928.14;1
BIOSINTETICA FARMACEUTICA LTDA;7676;B B BEZERRA & CIA LTDA-ME;60798;PI;9926.00;1
NATULAB LABORATORIO LTDA;33057;BENFARMA;98006;CE;1534.97;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);790094;SUPERMERCADO MORANGUINHO -LJ01;87995;CE;27025.81;1
HIDROLIGHT DO BRASIL S.A;791209;F S C MEDICAMENTOS LTDA;81189;CE;983.42;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;JAGUARFARMA;87782;CE;1193.10;1
HIDROLIGHT DO BRASIL S.A;791209;FARMACIA BATISTA;93748;CE;2378.47;1
SOFTYS BRASIL LTDA;789603;FARMACIA MAIS SAUDE;130759;CE;5136.96;1
LOLLY BABY PRODUTOS INFANTIS L;30083;VIDAL BARROSO V E A LTDA;91427;CE;6033.48;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;DROGARIA POUPE JA;102068;PE;300000.00;1
EMS S/A;5582;CEFARMA;97412;CE;2821.44;3
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);790094;DROGARIA A FAVORITA;92940;MA;3132.41;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;FARMACIA EXTRA POPULAR;126015;CE;5736.28;1
ACCUMED PROD MED HOSP LTDA;48933;DROGARIAS ULTRA POPULAR;97835;CE;2913.11;2
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;PREA FARMA;99150;CE;2476.10;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;FCNN COMERCIO DE MEDICAMENTOS EIRELI;93555;CE;20010.04;1
NEOQUIMICA;47252;FARMACIA NOGUEIRA;119544;CE;3977.84;6
BIOSINTETICA FARMACEUTICA LTDA;7676;DROG VILA PALMEIRA;75086;MA;2314.73;1
NEOQUIMICA;47252;MARIA DAS GRACAS M OLIVEIRA ME;95167;CE;1468.55;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;FARMACIA CERQUEIRA;10130;BA;4680.72;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA LOCAL;80967;CE;1125.31;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);790094;CEGIANE GESSICA A MONTEIRO ME;77160;CE;640.10;1
EMS S/A;5582;DROGAGILDO;80548;CE;2500.00;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA CONVIVA;91259;CE;620.00;1
NEOQUIMICA;47252;FARMACIA PRO SAUDE;7352;BA;2180.00;1
NEOQUIMICA;47252;FARMELHOR;10346;BA;3900.00;1
MILI S/A;789168;FARMACIA GENTIL;83453;CE;11082.80;5
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA ALDESUL (DROGAMASTER);80576;CE;1000.00;1
BIOSINTETICA FARMACEUTICA LTDA;7676;DROGARIAS ULTRA POPULAR;96349;MA;4130.14;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;TOUREIROFARMA;64432;PI;28428.98;4
GEOLAB IND FARMACEUTICA S/A;33928;VARGEMFARMA;94041;MA;2805.80;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;FARMACENTER;121015;PE;3758.40;1
NATULAB LABORATORIO LTDA;33057;GELSUE NOBRE DO NASCIMENTO;95490;CE;7538.00;1
BIOSINTETICA FARMACEUTICA LTDA;7676;DROGARIA FROTA;80414;CE;1123.00;1
BIOSINTETICA FARMACEUTICA LTDA;7676;DROGARIAS FEITOSA;80467;CE;666.04;1
WELLA BRASIL LTDA;794029;SUPERMERCADO MORAGUINHO;87995;CE;3000.00;1
BIOSINTETICA FARMACEUTICA LTDA;7676;DROGARIA N S APARECIDA;88968;CE;3577.00;2
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA UCHOA;93039;MA;2236.34;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;FONTENELE SUPERMERCADO;122950;PI;1502.00;1
BIOSINTETICA FARMACEUTICA LTDA;7676;GRUPO TOTAL;10000;CE;61131.58;24
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;FARMACIA BEM ESTAR;95881;CE;2225.78;1
ACCUMED PROD MED HOSP LTDA;48933;SUPERFARMA;86849;CE;16050.01;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;NOGUEIRA BABY;119544;CE;861.96;1
LOLLY BABY PRODUTOS INFANTIS L;30083;TOTAL PLUS;20061;CE;208439.35;15
SOFTYS BRASIL LTDA;789603;ARMAZEM REINALDO;56316;PI;19399.70;1
SOFTYS BRASIL LTDA;789603;ATENDBEM FL 5;7057;BA;1158.84;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;FARMACIA S. O. S. DO TRABALHADOR;101229;PE;26599.04;1
ACCUMED PROD MED HOSP LTDA;48933;POSTO DE MEDICAMENTO CEFARMA;97412;CE;990.07;1
LABORATORIO GLOBO LTDA;31305;FCIA POPULAR;54933;PI;4043.82;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;FARM.LIMOEIRENSE;80983;CE;753.60;1
BIOSINTETICA FARMACEUTICA LTDA;7676;BARBARA ANANDA COSTA CAMPOS AVELINO;119573;CE;3800.00;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;SLIM FARMA FARMACIA POPULAR LTDA EPP;124954;CE;2816.85;1
BIOSINTETICA FARMACEUTICA LTDA;7676;ELLO DISTRIBUIDORA DE MEDICAMENTOS EIRELI;95453;PI;10594.00;1
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;MUNDO DAS FARMACIAS;97683;PI;2608.50;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);790094;A R DE OLIVEIRA - ME;91312;CE;1470.00;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;CEGIANE GESSICA A MONTEIRO ME;77160;CE;5726.60;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;ARAUJO E ANDRADE EMPREENDIMENT;93405;CE;8798.53;1
SOFTYS BRASIL LTDA;789603;HIPER POPULAR;121555;PI;10398.72;1
LOLLY BABY PRODUTOS INFANTIS L;30083;VALOR BRASIL COMERCIO DE MEDICAMENTOS LTDA;93555;CE;2110.47;1
EMS S/A;5582;FARMACIA ESTILO;80732;CE;1018.88;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;DROG MEGA FARMA;93043;MA;479.76;1
SOFTYS BRASIL LTDA;789603;BEN KIDS BABY;98006;CE;104165.31;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;DROG VILA PALMEIRA;75086;MA;1163.49;1
NATULAB LABORATORIO LTDA;33057;FARM.SAO FRANCISCO;81062;CE;3138.72;1
NEOQUIMICA;47252;FARMACIA AZUL;92094;CE;4492.53;1
NEOQUIMICA;47252;BIG FARMA;91951;CE;3768.40;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;FARMA POPULAR;120344;CE;3251.60;1
GEOLAB IND FARMACEUTICA S/A;33928;A C F MORORÓ;89027;CE;1014.33;1
EMS S/A;5582;FARMACIA POPULAR;80123;CE;2504.61;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;POPULARFARMA;100366;PI;1636.41;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;DROGARIA LIMA;81300;CE;2065.72;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;AMERICA DROGARIAS 2;97011;PI;1513.58;1
NEOQUIMICA;47252;J & P COMERCIO DE MEDICAMENTOS LTDA ME;92094;CE;10095.48;1
MILI S/A;789168;SUPERMERCADO MORANGUINHO;87995;CE;35986.89;2
LABORATORIO GLOBO LTDA;31305;M MICHELLE SARAIVA MOREIRA;80588;CE;1408.83;1
ACCUMED PROD MED HOSP LTDA;48933;BARBARA ANANDA COSTA CAMPOS AVELINO;119573;CE;2049.00;1
BIOSINTETICA FARMACEUTICA LTDA;7676;DROGARIA VICTORIA;88670;CE;2700.00;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA MURILO FARMA;121394;CE;1763.09;1
NATULAB LABORATORIO LTDA;33057;R A MACIELCOMERCIAL DE MEDICAMENTOS LTDA;118536;CE;1509.29;1
GERMED FARMACEUTICA LTDA;53333;HIPER POPULAR DROGARIAS;96554;MA;2000.00;1
NEOQUIMICA;47252;FARMACIA PROVIDA LTDA;86285;CE;300000.00;1
SOFTYS BRASIL LTDA;789603;FCNN COMERCIO DE MEDICAMENTOS EIRELI;93555;CE;2404.69;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;DEUSABABYS;104373;CE;772.12;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;CEFARMA;97412;CE;12155.02;3
SANDOZ DO BRASI  IND. FARMAC LTDA (SP);789228;FARMACIA ESTILO;80732;CE;278.00;1
LABORATORIO GLOBO LTDA;31305;FARMACIA DO TRABALHADOR DE CARIRI;95905;CE;4391.54;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;DROGARIA ULTRA POPULAR;95647;MA;6685.12;1
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA CAVALCANTE;103866;PE;33737.29;12
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;CELLA E CELLA DROGARIAS LTDA;93814;MA;50000.00;1
NEOQUIMICA;47252;FARMACIA MUTTI;8018;BA;50512.88;1
LABORATORIO GLOBO LTDA;31305;FARMACIA VITORIA;124075;PI;2240.16;1
TORRENT DO BRASIL LTDA;792019;FARMACIA ESTILO;80732;CE;1275.77;1
NEOQUIMICA;47252;DROGARIA BEM ESTAR;91310;CE;1102.59;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;FARMACIA ALDESUL (FILIAL 11);80576;CE;608.40;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;FARMACIA VITORIA;124075;PI;1744.14;1
ACCUMED PROD MED HOSP LTDA;48933;ECONOMIZE FARMA;91951;CE;2464.00;1
NEOQUIMICA;47252;FARM.SOLONOPOLES;80564;CE;97658.00;2
NATULAB LABORATORIO LTDA;33057;FARMACIA NOSSA SENHORA APARECIDA;91778;CE;0.00;1
EMS S/A;5582;FARM.VASCONCELOS;80502;CE;2623.80;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;ANDREIA LUCAS DE OLIVEIRA ME;95672;CE;385.32;1
NATULAB LABORATORIO LTDA;33057;FARMACIA ZILMA;96097;CE;1808.08;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;FARMACIA SAO FRANCISCO;127331;CE;601.50;1
TORRENT DO BRASIL LTDA;792019;FARMACIA TEND TUDO;100665;PE;5489.61;4
LOLLY BABY PRODUTOS INFANTIS L;30083;SUPERMERCADO MORANGUINHO LTDA;87995;CE;32747.18;2
KLEY HERTZ DISTRIBUIDORA LTDA;789423;FARMACIA MAIS POPULAR;99821;BA;2546.56;1
KIMBERLY-CLARK BRASIL IND.E CO;30241;BIGFORT FARMACIAS;99256;BA;80000.00;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;FARM. OSWALDO CRUZ;85836;CE;3370.92;1
EMS S/A;5582;FARMACIA LA DE CASA;87265;CE;652.05;1
EMS S/A;5582;DROGARIA N S APARECIDA;88968;CE;3153.93;1
BIOSINTETICA FARMACEUTICA LTDA;7676;DROGARIA SAO FRANCISCO;81074;CE;1148.14;1
MILI S/A;789168;M. MICHELLE SARAIVA MOREIRA ME;80588;CE;5827.08;1
TORRENT DO BRASIL LTDA;792019;FARMACIA CENTER POPULAR (LJ 6) C JANGURU;81356;CE;10576.90;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;M MICHELLE SARAIVA MOREIRA;80588;CE;1687.84;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;FARMACIA G2 COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;101723;PE;3839.20;1
MILI S/A;789168;SUPERMERCADO  MORANGUINHO;87995;CE;20257.63;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;ANTONIO SAMUEL F. RODRIGUES ME;91409;CE;1319.84;1
NEOQUIMICA;47252;DROGARIA DO BAIRRO;122632;CE;2064.21;1
LABORATORIO GLOBO LTDA;31305;DROGARIA ALAN;81377;CE;4117.08;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;HAPFARMA;93619;CE;6322.44;1
NEOQUIMICA;47252;A E B COMERCIO DE PRODUTOS FA;90866;CE;32000.00;1
KLEY HERTZ DISTRIBUIDORA LTDA;789423;FARMACIA UCHOA;93039;MA;4759.17;1
NEOQUIMICA;47252;FARMACIA SANTA BRANCA;126589;CE;16093.00;1
TORRENT DO BRASIL LTDA;792019;REBEKA NEVES DE MENEZES ME;99574;CE;262.00;1
NEOQUIMICA;47252;FARMASHOW COMERCIO DE MEDICAMENTOS LTDA;123310;CE;2901.22;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA SAO MATEUS;80442;CE;2970.00;1
NEOQUIMICA;47252;FARMACIA SAO MIGUEL;81413;CE;20180.23;2
PHARLAB INDUSTRIA FARMACEUTICA S.A;790283;FARMACIA UCHOA;93039;MA;1395.68;1
ACCUMED PROD MED HOSP LTDA;48933;FARMACIA AVENIDA;7565;BA;3094.07;1
HIGIMASTER DIST DE PROD DE HIG LTDA (DENTAL CLEAN);790094;FARMACIA PADRE CICERO;86861;CE;407.59;1
NEOQUIMICA;47252;F L PRODUTOS FARMACEUTICOS LTDA  ME;92322;CE;897.00;1
TORRENT DO BRASIL LTDA;792019;ARAUJO E ANDRADE EMPREENDIMENT;93405;CE;1256.98;1
SOFTYS BRASIL LTDA;789603;DROGARIAS CAETES;100933;PE;200000.00;1
SOFTYS BRASIL LTDA;789603;SUPERFARMA COMERCIO VAREJISTA DE MEDICAMENTOS EIRELI;86849;CE;18448.86;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMA FAMA;93659;MA;2049.99;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;FARMACIA CONFIANCA;89845;CE;7234.72;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;FARMACIA PADRE CICERO;86861;CE;5532.32;1
(PLENTY) EUROFRAL PRODUTOS DE HIGIENE LTDA;794319;FARMACIA MENOR PRECO;80588;CE;3375.68;2
NEOQUIMICA;47252;DISK SAUDE;87795;CE;3026.05;1
NEOQUIMICA;47252;DTOGARIA FREITAS;67210;MA;5513.84;1
CCM IND E COM DE PROD DESCARTAVEIS S/A;30307;MUNDO DAS FARMACIAS;97683;PI;6296.80;1
(TOTAL VITA) GROWUP INDUSTRIA DE ALIMENTOS E NUTRACEUTICOS LTDA;792141;IBIFARMA COMERCIO DE PRODUTOS FARMACEUTICOS E HOSPITALARES;118722;CE;1240.68;1
LOLLY BABY PRODUTOS INFANTIS L;30083;FARMACIA GENTIL;83453;CE;2000.00;1
GEOLAB IND FARMACEUTICA S/A;33928;ATENDBEM MATRIZ;7057;BA;1042.68;1
BIOSINTETICA FARMACEUTICA LTDA;7676;FARMACIA + AMIGA;97346;CE;8044.67;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;D DA SILVA RODRIGUES;120532;CE;1611.36;1
HIDROLIGHT DO BRASIL S.A;791209;COMERCIAL DE MEDICAMENTOS SOLONOPOLE LTDA;80564;CE;2025.39;1
NATULAB LABORATORIO LTDA;33057;FARMACIA SAO FRANCISCO;127331;CE;3304.44;1
PRINCIPIA ES COMERCIO DE COSMETICOS LTDA;31;FARMACIA + AMIGA;97346;CE;390.06;1
LABORATORIO GLOBO LTDA;31305;DROGARIA POPULAR HOLANDA;94120;MA;4157.92;1
LABORATORIO GLOBO LTDA;31305;FARMACIA POPULAR;120647;PE;419.00;1
SOFTYS BRASIL LTDA;789603;FARMACIA ECONOMICA;121837;CE;3613.20;1
EMS S/A;5582;BARBARA ANANDA COSTA CAMPOS AVELINO;119573;CE;4095.42;1
(DINNO BABY) DISTRIBUIDORA DE COSMETICOS BY FATTORE LTDA - EPP;795345;BARBOSA E LEITAO ALIMENTOS LTDA;94101;CE;2612.28;1
SOFTYS BRASIL LTDA;789603;J I ARAUJO MEDICAMENTOS;91357;CE;27761.84;1
EMS S/A;5582;FARMACIA DO TRABALHADOR BOM PRECO;94091;CE;1021.40;1
